,Distrito,Consumo(m3),Habitantes,Litros/habitante/día
0,   Centro,7345462,141323,142.40111959594358
1,   Arganzuela,6378381,153851,113.58402895240307
2,   Retiro,5221974,118283,120.95379794384468
3,   Salamanca,7336031,145711,137.9354686227749
4,   Chamartín,7380397,145251,139.20913283505558
5,   Tetuán,6932770,158574,119.7793485121073
6,   Chamberí,7168447,137721,142.60411136949202
7,   Fuencarral-El Pardo,10993520,247455,121.71600039082794
8,   Moncloa-Aravaca,6926745,121032,156.7964138545495
9,   Latina,9654643,238949,110.69758279937881
10,   Carabanchel,10200067,257350,108.58903843441185
11,   Usera,5489255,141689,106.14130097975529
12,   Puente de Vallecas,9299320,237440,107.30116678359119
13,   Moratalaz,3888815,93232,114.2771545309859
14,   Ciudad Lineal,9507634,215790,120.7113968616114
15,   Hortaleza,9397690,193695,132.9259706776683
16,   Villaverde,5903404,154515,104.67404193147006
17,   Villa de Vallecas,4729079,114839,112.82213204501788
18,   Vicálvaro,3090676,77426,109.36385037909817
19,   San Blas-Canillejas,6436469,160032,110.19147197957668
20,   Barajas,2383882,50185,130.14214529528414
