,Denominación,Fecha de entrada en servicio,Caudal de elevación (m³/s),Altura de elevación (m),Potencia instalada (kW)
0,Picadas,1967,3.6,216,13425
1,Colmenar del Arroyo I (Picadas II),1967,3.6,100,8243
2,Retamares,1969,1.2,50,1625
3,Tres Cantos,1978,2.0,85,4240
4,Valmayor,1981,0.24,160,700
5,Santillana,1981,0.6,140,1720
6,Colmenar Viejo,1982,0.5,145,1413
7,Plaza Castilla,1983,5.0,50,2650
8,Torres de la Alameda I,1990,0.4,130,800
9,Majadahonda,1991,2.8,45,1880
10,Valgallegos,1991,0.36,175,1542
11,Pinilla,1992,0.4,250,1600
12,Velilla de San Antonio ,1992,0.6,158,1351
13,Villalba,1992,0.9,200,1987
14,Navacerrada,1992,0.15,280,1377
15,Hortaleza,1993,1.5,60,1250
16,San Juan,1994,6.0,190,19000
17,Colmenar del Arroyo II (San Juan II),1994,6.0,130,13000
18,Velilla de San Antonio 2,1994,0.8,160,1952
19,Tielmes,1999,0.3,120,1000
20,Perales de Tajuña,2000,0.28,90,330
21,Santillana II,2004,0.96,146,3000
22,ETAP Majadahonda,2007,3.75,10,550
23,Griñón,2008,0.19,6,66
24,Cerceda,2008,0.2666,80,400
25,La Montaña,2009,1.0,202,2800
26,El Palomar (Colmenar de Oreja),2010,0.464,190,1260
27,Soto II,2010,0.229,100,400
28,Elevadora de Pelayos de la Presa,2012,0.42,203,1220
29,Arganda 2,2013,0.688,126,1420
30,ETAP Griñón (Getafe),2013,0.834,26,330
