,Municipios,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007 (5),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Comunidad de Madrid,507311387,49434380,600085884,595742107,630185328,651663253,671507006,629931977,364068659,376386483,374622728,372584913,384031247,387464871,406901095,420507027,433988876,442722583,460127592,449919989,487226087,435710166,434034401,437673630,435211076,414864492,422617582,410236234,392317469,392899318,403992502,405974663,416122486,398433932,417271269,405607980,405120226
1,Municipio de Madrid,415957219,0,450044034,474347134,501043504,507734296,520789060,482891936,226794579,229282880,223937501,220780918,226920570,227939860,236583296,240940938,243679367,246632800,253284264,246643832,261061411,232408297,226948513,231964118,224708534,211036865,215665633,207604289,198931286,197544547,201539383,203672914,205140270,198312357,205244545,195491700,194126030
2,Norte Metropolitano,6162086,337176,13902672,14389951,15775215,16691439,20252511,19291633,17709168,17771787,18422051,19360791,19599508,19797665,20946065,21477522,22151996,22927088,24064223,23588079,25647632,22720089,23127094,23278650,23050169,23840366,23552041,23117463,22641786,22911044,23492219,23364133,24470631,23228403,24463331,23641597,23722020
3,Este Metropolitano,18766279,12434259,21707693,19710149,21273148,23615170,23622827,23192056,21041411,22483575,21804562,22455917,23240637,22783346,24152889,24576499,25936921,27032446,28369381,28785355,31664078,27995769,28762107,28430186,29779962,26851350,29280268,29349570,27643920,27832718,28647666,28333923,29762411,28107575,29509459,29544506,29769719
4,Sur Metropolitano,47854933,31853942,83749363,57966713,58475030,64859319,64733319,66564291,60929088,63199717,63100251,63556563,66318360,68899641,72260520,73768992,77851128,79987790,81735095,81115314,86718726,80257552,81463504,81342721,77830940,78597004,77710154,72762831,71837082,71778820,73245961,74609026,75822643,73499616,76523517,76242429,75680993
5,Oeste Metropolitano,7825121,1232540,17896753,18122611,21417643,23547486,25310831,23006127,22055228,25047461,25893963,25977027,26583321,27600721,29938915,32248443,35184710,35839469,38779295,37620583,43154546,36543565,37353761,36404499,40743213,38565938,37504517,38990211,36642096,37061842,39313868,38803013,40784583,37812529,41213589,39780655,40828494
6,Sierra Norte,1878055,1565004,1664688,1512774,1484144,1733273,1437573,1661157,1734520,2040195,2193239,2166708,2467901,2285876,2820482,2866961,3012641,3292247,3256970,1633072,3248761,2834186,2959447,3019114,2982848,2905289,3233447,2934979,2643977,2650222,2782397,2613964,2828514,2630210,2940565,3042663,3043892
7,Nordeste Comunidad,410181,462562,311732,323408,314206,330740,1180594,942599,1102459,1419602,1315425,1491020,1626329,1669618,1894808,2157355,2457673,2837386,3207096,3351571,3765111,3397138,3601125,3585765,3860718,3613609,3620191,3789751,3377734,3590067,3779277,3802306,3994038,3909229,4162915,4291369,4202338
8,Sudeste Comunidad,738512,716574,635385,795351,824940,957545,958538,1058678,1641333,1576754,1629205,1612398,2380569,1741724,1769681,4470855,5877631,6172667,6562076,6698920,7621092,6931945,6973989,6939860,7664638,6374196,7109455,7373572,6608779,6960537,6971814,6904530,7276084,6844147,7016613,7340624,7406317
9,Sudoeste Comunidad,0,84297,127082,130547,151716,366227,1297263,1122610,1241923,1503600,2082557,2224447,2123997,1680357,1800939,2339338,2587712,2956645,3389981,3641843,4655770,5487645,6474680,6588336,6675632,6624268,7791056,7083944,6916495,7272185,7903706,8117242,8507420,8247293,8934878,9029075,9127642
10,Sierra Sur,255820,743413,1308320,1466008,1014807,1127950,1372372,1566024,1485022,1948991,2297858,2371196,2336784,2287744,2454938,2704481,2002996,2033896,2186513,2066562,2327950,2130930,2146402,2209487,2435313,2242010,2420911,2476094,2141929,2060800,2277737,2334030,3175837,3010250,3277872,3297500,3348030
11,Sierra Central,7463181,4613,8738162,6977461,8410975,10699808,10552118,8634866,8333928,10111921,11946116,10587928,10433271,10778319,12278562,12955643,13246101,13010149,15292698,14774858,17361010,15003050,14223779,13910894,15479109,14213597,14729909,14753530,12932385,13236536,14038474,13419582,14360055,12832323,13983985,13905862,13864751
